取引日,出金金額（円）,入金金額（円）,海外出金金額,通貨,変換レート（円）,利用国,取引内容,取引先,取引方法,支払い区分,利用者,取引番号
2025/05/12 22:54:39,980,-,-,-,-,日本,支払い,Spotify,クレジット Mastercard 0000,ー回払い,本人,05012200000171
2025/05/13 13:18:08,-,2,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000190
2025/05/13 13:18:08,426,-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,PayPay残高,-,本人,05012200000190
2025/05/14 12:26:02,-,9,-,-,-,日本,ポイント、残高の獲得,ファミリーマート 本町店,PayPayポイント,-,本人,05012200000191
2025/05/14 12:26:02,908,-,-,-,-,日本,支払い,ファミリーマート 本町店,クレジット Mastercard 0000,ー回払い,本人,05012200000191
2025/05/14 15:48:16,-,13,-,-,-,日本,ポイント、残高の獲得,スターバックス コーヒー - 駅ビル店,PayPayポイント,-,本人,05012200000192
2025/05/14 15:48:16,873,-,-,-,-,日本,支払い,スターバックス コーヒー - 駅ビル店,PayPay残高,-,本人,05012200000192
2025/05/15 10:58:47,"5,922",-,-,-,-,日本,支払い,ガス料金 請求書払い,PayPay残高,-,本人,05012200000173
2025/05/16 10:44:31,-,16,-,-,-,日本,ポイント、残高の獲得,すき家 - 東口店,PayPayポイント,-,本人,05012200000194
2025/05/16 10:44:31,"1,606",-,-,-,-,日本,支払い,すき家 - 東口店,PayPay残高,-,本人,05012200000194
2025/05/16 18:11:12,-,9,-,-,-,日本,ポイント、残高の獲得,ローソン - 駅前店,PayPayポイント,-,本人,05012200000193
2025/05/16 18:11:12,964,-,-,-,-,日本,支払い,ローソン - 駅前店,PayPayあと払い,-,本人,05012200000193
2025/05/17 14:36:23,-,3,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000195
2025/05/17 14:36:23,779,-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,PayPay残高,-,本人,05012200000195
2025/05/18 19:23:11,"4,378",-,-,-,-,日本,支払い,ソフトバンク 携帯料金,クレジット Mastercard 0000,ー回払い,本人,05012200000169
2025/05/19 10:36:49,-,7,-,-,-,日本,ポイント、残高の獲得,ドトールコーヒーショップ - 東口店,PayPayポイント,-,本人,05012200000196
2025/05/19 10:36:49,471,-,-,-,-,日本,支払い,ドトールコーヒーショップ - 東口店,PayPay残高,-,本人,05012200000196
2025/05/20 09:49:26,-,10,-,-,-,日本,ポイント、残高の獲得,交通系ICチャージ,PayPayポイント,-,本人,05012200000197
2025/05/20 09:49:26,"2,048",-,-,-,-,日本,支払い,交通系ICチャージ,PayPayあと払い,-,本人,05012200000197
2025/05/21 14:14:05,"7,019",-,-,-,-,日本,支払い,電気料金 請求書払い,PayPay残高,-,本人,05012200000172
2025/05/22 07:16:28,-,32,-,-,-,日本,ポイント、残高の獲得,ドン・キホーテ - 大通り店,PayPayポイント,-,本人,05012200000198
2025/05/22 07:16:28,"3,219",-,-,-,-,日本,支払い,ドン・キホーテ - 大通り店,PayPayあと払い,-,本人,05012200000198
2025/05/23 11:52:36,-,164,-,-,-,日本,ポイント、残高の獲得,ユニクロ - 大通り店,PayPayポイント,-,本人,05012200000200
2025/05/23 11:52:36,"10,960",-,-,-,-,日本,支払い,ユニクロ - 大通り店,PayPayあと払い,-,本人,05012200000200
2025/05/23 17:31:29,-,3,-,-,-,日本,ポイント、残高の獲得,ファミリーマート 本町店,PayPayポイント,-,本人,05012200000199
2025/05/23 17:31:29,705,-,-,-,-,日本,支払い,ファミリーマート 本町店,PayPay残高,-,本人,05012200000199
2025/05/24 12:50:13,-,1,-,-,-,日本,ポイント、残高の獲得,ローソン - 駅前店,PayPayポイント,-,本人,05012200000201
2025/05/24 12:50:13,389,-,-,-,-,日本,支払い,ローソン - 駅前店,PayPayあと払い,-,本人,05012200000201
2025/05/24 14:03:34,-,"10,000",-,-,-,日本,チャージ,PayPay,PayPay残高,-,本人,05012200000175
2025/05/24 15:04:22,-,42,-,-,-,日本,ポイント、残高の獲得,業務スーパー 中央二丁目店,PayPayポイント,-,本人,05012200000202
2025/05/24 15:04:22,"2,800",-,-,-,-,日本,支払い,業務スーパー 中央二丁目店,PayPay残高,-,本人,05012200000202
2025/05/24 17:17:59,-,5,-,-,-,日本,ポイント、残高の獲得,すき家 - 東口店,PayPayポイント,-,本人,05012200000203
2025/05/24 17:17:59,"1,182",-,-,-,-,日本,支払い,すき家 - 東口店,PayPay残高,-,本人,05012200000203
2025/05/25 17:13:40,-,18,-,-,-,日本,ポイント、残高の獲得,マクドナルド 西口店,PayPayポイント,-,本人,05012200000204
2025/05/25 17:13:40,"1,213",-,-,-,-,日本,支払い,マクドナルド 西口店,PayPay残高,-,本人,05012200000204
2025/05/26 11:35:35,-,4,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000205
2025/05/26 11:35:35,829,-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,PayPay残高,-,本人,05012200000205
2025/05/26 17:45:17,-,4,-,-,-,日本,ポイント、残高の獲得,スターバックス コーヒー - 駅ビル店,PayPayポイント,-,本人,05012200000206
2025/05/26 17:45:17,812,-,-,-,-,日本,支払い,スターバックス コーヒー - 駅ビル店,PayPay残高,-,本人,05012200000206
2025/05/27 10:34:56,-,11,-,-,-,日本,ポイント、残高の獲得,ダイソー - 中央店,PayPayポイント,-,本人,05012200000207
2025/05/27 10:34:56,"1,123",-,-,-,-,日本,支払い,ダイソー - 中央店,クレジット Mastercard 0000,ー回払い,本人,05012200000207
2025/05/28 15:46:06,-,3,-,-,-,日本,ポイント、残高の獲得,ドトールコーヒーショップ - 東口店,PayPayポイント,-,本人,05012200000208
2025/05/28 15:46:06,698,-,-,-,-,日本,支払い,ドトールコーヒーショップ - 東口店,PayPayあと払い,-,本人,05012200000208
2025/05/30 10:41:38,-,2,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000209
2025/05/30 10:41:38,487,-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,PayPay残高,-,本人,05012200000209
2025/06/01 19:52:36,-,10,-,-,-,日本,ポイント、残高の獲得,業務スーパー 中央二丁目店,PayPayポイント,-,本人,05012200000217
2025/06/01 19:52:36,"2,107",-,-,-,-,日本,支払い,業務スーパー 中央二丁目店,PayPayあと払い,-,本人,05012200000217
2025/06/02 10:04:33,-,"10,000",-,-,-,日本,チャージ,PayPay,PayPay残高,-,本人,05012200000215
2025/06/02 20:55:38,-,7,-,-,-,日本,ポイント、残高の獲得,ダイソー - 中央店,PayPayポイント,-,本人,05012200000218
2025/06/02 20:55:38,"1,524",-,-,-,-,日本,支払い,ダイソー - 中央店,PayPay残高,-,本人,05012200000218
2025/06/03 13:05:05,-,2,-,-,-,日本,ポイント、残高の獲得,ドトールコーヒーショップ - 東口店,PayPayポイント,-,本人,05012200000219
2025/06/03 13:05:05,400,-,-,-,-,日本,支払い,ドトールコーヒーショップ - 東口店,PayPayあと払い,-,本人,05012200000219
2025/06/04 13:58:04,-,8,-,-,-,日本,ポイント、残高の獲得,マクドナルド 西口店,PayPayポイント,-,本人,05012200000220
2025/06/04 13:58:04,"1,772",-,-,-,-,日本,支払い,マクドナルド 西口店,PayPayあと払い,-,本人,05012200000220
2025/06/05 20:37:38,-,70,-,-,-,日本,ポイント、残高の獲得,イオン - 中央店,PayPayポイント,-,本人,05012200000221
2025/06/05 20:37:38,"4,701",-,-,-,-,日本,支払い,イオン - 中央店,PayPay残高,-,本人,05012200000221
2025/06/06 10:07:56,-,94,-,-,-,日本,ポイント、残高の獲得,イオン - 中央店,PayPayポイント,-,本人,05012200000223
2025/06/06 10:07:56,"6,306",-,-,-,-,日本,支払い,イオン - 中央店,クレジット Mastercard 0000,ー回払い,本人,05012200000223
2025/06/06 22:53:36,-,2,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000222
2025/06/06 22:53:36,507,-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,PayPay残高,-,本人,05012200000222
2025/06/07 19:48:50,-,13,-,-,-,日本,ポイント、残高の獲得,イオン - 中央店,PayPayポイント,-,本人,05012200000224
2025/06/07 19:48:50,"2,688",-,-,-,-,日本,支払い,イオン - 中央店,PayPay残高,-,本人,05012200000224
2025/06/08 10:26:28,-,26,-,-,-,日本,ポイント、残高の獲得,イオン - 中央店,PayPayポイント,-,本人,05012200000225
2025/06/08 10:26:28,"5,305",-,-,-,-,日本,支払い,イオン - 中央店,PayPayあと払い,-,本人,05012200000225
2025/06/08 19:51:13,"1,590",-,-,-,-,日本,支払い,Netflix,クレジット Mastercard 0000,ー回払い,本人,05012200000211
2025/06/10 14:16:07,-,10,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000226
2025/06/10 14:16:07,673,-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,PayPay残高,-,本人,05012200000226
2025/06/10 17:42:21,-,18,-,-,-,日本,ポイント、残高の獲得,マクドナルド 西口店,PayPayポイント,-,本人,05012200000227
2025/06/10 17:42:21,"1,235",-,-,-,-,日本,支払い,マクドナルド 西口店,クレジット Mastercard 0000,ー回払い,本人,05012200000227
2025/06/10 20:44:43,-,18,-,-,-,日本,ポイント、残高の獲得,サイゼリヤ - 中央店,PayPayポイント,-,本人,05012200000228
2025/06/10 20:44:43,"3,624",-,-,-,-,日本,支払い,サイゼリヤ - 中央店,PayPay残高,-,本人,05012200000228
2025/06/11 09:47:16,-,28,-,-,-,日本,ポイント、残高の獲得,イオン - 中央店,PayPayポイント,-,本人,05012200000230
2025/06/11 09:47:16,"2,872",-,-,-,-,日本,支払い,イオン - 中央店,PayPay残高,-,本人,05012200000230
2025/06/11 17:31:29,-,13,-,-,-,日本,ポイント、残高の獲得,マツモトキヨシ - 東口店,PayPayポイント,-,本人,05012200000231
2025/06/11 17:31:29,"1,344",-,-,-,-,日本,支払い,マツモトキヨシ - 東口店,PayPay残高,-,本人,05012200000231
2025/06/11 17:32:07,-,19,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000229
2025/06/11 17:32:07,"1,292",-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,クレジット Mastercard 0000,ー回払い,本人,05012200000229
2025/06/12 08:25:20,-,2,-,-,-,日本,ポイント、残高の獲得,ドトールコーヒーショップ - 東口店,PayPayポイント,-,本人,05012200000233
2025/06/12 08:25:20,498,-,-,-,-,日本,支払い,ドトールコーヒーショップ - 東口店,クレジット Mastercard 0000,ー回払い,本人,05012200000233
2025/06/12 17:05:26,980,-,-,-,-,日本,支払い,Spotify,クレジット Mastercard 0000,ー回払い,本人,05012200000212
2025/06/12 17:39:45,-,35,-,-,-,日本,ポイント、残高の獲得,イオン - 中央店,PayPayポイント,-,本人,05012200000232
2025/06/12 17:39:45,"3,529",-,-,-,-,日本,支払い,イオン - 中央店,PayPayあと払い,-,本人,05012200000232
2025/06/13 19:39:24,-,5,-,-,-,日本,ポイント、残高の獲得,ダイソー - 中央店,PayPayポイント,-,本人,05012200000234
2025/06/13 19:39:24,"1,092",-,-,-,-,日本,支払い,ダイソー - 中央店,PayPay残高,-,本人,05012200000234
2025/06/14 07:14:03,-,4,-,-,-,日本,ポイント、残高の獲得,すき家 - 東口店,PayPayポイント,-,本人,05012200000236
2025/06/14 07:14:03,855,-,-,-,-,日本,支払い,すき家 - 東口店,PayPay残高,-,本人,05012200000236
2025/06/14 09:16:18,-,10,-,-,-,日本,ポイント、残高の獲得,イオン - 中央店,PayPayポイント,-,本人,05012200000235
2025/06/14 09:16:18,"2,050",-,-,-,-,日本,支払い,イオン - 中央店,PayPay残高,-,本人,05012200000235
2025/06/14 19:57:40,-,96,-,-,-,日本,ポイント、残高の獲得,ニトリ - 北町店,PayPayポイント,-,本人,05012200000237
2025/06/14 19:57:40,"9,686",-,-,-,-,日本,支払い,ニトリ - 北町店,PayPay残高,-,本人,05012200000237
2025/06/15 21:44:31,"4,031",-,-,-,-,日本,支払い,ガス料金 請求書払い,PayPay残高,-,本人,05012200000214
2025/06/16 13:20:35,-,6,-,-,-,日本,ポイント、残高の獲得,すき家 - 東口店,PayPayポイント,-,本人,05012200000238
2025/06/16 13:20:35,"1,363",-,-,-,-,日本,支払い,すき家 - 東口店,PayPayあと払い,-,本人,05012200000238
2025/06/17 07:08:34,-,52,-,-,-,日本,ポイント、残高の獲得,ドン・キホーテ - 大通り店,PayPayポイント,-,本人,05012200000240
2025/06/17 07:08:34,"5,282",-,-,-,-,日本,支払い,ドン・キホーテ - 大通り店,PayPay残高,-,本人,05012200000240
2025/06/17 20:37:49,-,12,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000239
2025/06/17 20:37:49,854,-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,PayPayあと払い,-,本人,05012200000239
2025/06/18 19:55:11,"4,378",-,-,-,-,日本,支払い,ソフトバンク 携帯料金,クレジット Mastercard 0000,ー回払い,本人,05012200000210
2025/06/20 13:40:20,-,36,-,-,-,日本,ポイント、残高の獲得,ドン・キホーテ - 大通り店,PayPayポイント,-,本人,05012200000242
2025/06/20 13:40:20,"7,355",-,-,-,-,日本,支払い,ドン・キホーテ - 大通り店,PayPay残高,-,本人,05012200000242
2025/06/20 19:21:19,-,2,-,-,-,日本,ポイント、残高の獲得,ドトールコーヒーショップ - 東口店,PayPayポイント,-,本人,05012200000243
2025/06/20 19:21:19,431,-,-,-,-,日本,支払い,ドトールコーヒーショップ - 東口店,クレジット Mastercard 0000,ー回払い,本人,05012200000243
2025/06/20 22:08:38,-,3,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000241
2025/06/20 22:08:38,719,-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,クレジット Mastercard 0000,ー回払い,本人,05012200000241
2025/06/21 09:35:37,"7,348",-,-,-,-,日本,支払い,電気料金 請求書払い,PayPay残高,-,本人,05012200000213
2025/06/23 09:28:20,-,4,-,-,-,日本,ポイント、残高の獲得,ファミリーマート 本町店,PayPayポイント,-,本人,05012200000244
2025/06/23 09:28:20,894,-,-,-,-,日本,支払い,ファミリーマート 本町店,PayPay残高,-,本人,05012200000244
2025/06/24 08:54:44,-,14,-,-,-,日本,ポイント、残高の獲得,ドン・キホーテ - 大通り店,PayPayポイント,-,本人,05012200000245
2025/06/24 08:54:44,"2,824",-,-,-,-,日本,支払い,ドン・キホーテ - 大通り店,PayPay残高,-,本人,05012200000245
2025/06/25 13:56:41,-,7,-,-,-,日本,ポイント、残高の獲得,ローソン - 駅前店,PayPayポイント,-,本人,05012200000246
2025/06/25 13:56:41,739,-,-,-,-,日本,支払い,ローソン - 駅前店,クレジット Mastercard 0000,ー回払い,本人,05012200000246
2025/06/26 18:47:36,-,3,-,-,-,日本,ポイント、残高の獲得,丸亀製麺 本町,PayPayポイント,-,本人,05012200000247
2025/06/26 18:47:36,677,-,-,-,-,日本,支払い,丸亀製麺 本町,クレジット Mastercard 0000,ー回払い,本人,05012200000247
2025/06/27 14:46:42,-,"10,000",-,-,-,日本,チャージ,PayPay,PayPay残高,-,本人,05012200000216
2025/06/29 10:39:37,-,10,-,-,-,日本,ポイント、残高の獲得,ファミリーマート 本町店,PayPayポイント,-,本人,05012200000248
2025/06/29 10:39:37,677,-,-,-,-,日本,支払い,ファミリーマート 本町店,クレジット Mastercard 0000,ー回払い,本人,05012200000248
2025/06/29 11:39:14,-,18,-,-,-,日本,ポイント、残高の獲得,Yahoo!ショッピング,PayPayポイント,-,本人,05012200000250
2025/06/29 11:39:14,"1,205",-,-,-,-,日本,支払い,Yahoo!ショッピング,PayPayあと払い,-,本人,05012200000250
2025/06/29 16:35:32,-,20,-,-,-,日本,ポイント、残高の獲得,マツモトキヨシ - 東口店,PayPayポイント,-,本人,05012200000249
2025/06/29 16:35:32,"1,383",-,-,-,-,日本,支払い,マツモトキヨシ - 東口店,PayPayあと払い,-,本人,05012200000249
2025/06/30 17:16:50,-,3,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000251
2025/06/30 17:16:50,772,-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,PayPay残高,-,本人,05012200000251
2025/06/30 22:54:41,-,12,-,-,-,日本,ポイント、残高の獲得,ファミリーマート 本町店,PayPayポイント,-,本人,05012200000252
2025/06/30 22:54:41,862,-,-,-,-,日本,支払い,ファミリーマート 本町店,クレジット Mastercard 0000,ー回払い,本人,05012200000252
2025/07/02 19:18:28,-,40,-,-,-,日本,ポイント、残高の獲得,イオン - 中央店,PayPayポイント,-,本人,05012200000260
2025/07/02 19:18:28,"4,028",-,-,-,-,日本,支払い,イオン - 中央店,クレジット Mastercard 0000,ー回払い,本人,05012200000260
2025/07/03 12:00:41,-,13,-,-,-,日本,ポイント、残高の獲得,業務スーパー 中央二丁目店,PayPayポイント,-,本人,05012200000261
2025/07/03 12:00:41,"2,712",-,-,-,-,日本,支払い,業務スーパー 中央二丁目店,クレジット Mastercard 0000,ー回払い,本人,05012200000261
2025/07/07 12:38:32,-,32,-,-,-,日本,ポイント、残高の獲得,ドン・キホーテ - 大通り店,PayPayポイント,-,本人,05012200000262
2025/07/07 12:38:32,"3,212",-,-,-,-,日本,支払い,ドン・キホーテ - 大通り店,クレジット Mastercard 0000,ー回払い,本人,05012200000262
2025/07/08 10:40:33,"1,590",-,-,-,-,日本,支払い,Netflix,クレジット Mastercard 0000,ー回払い,本人,05012200000254
2025/07/09 08:48:31,-,12,-,-,-,日本,ポイント、残高の獲得,業務スーパー 中央二丁目店,PayPayポイント,-,本人,05012200000263
2025/07/09 08:48:31,"2,596",-,-,-,-,日本,支払い,業務スーパー 中央二丁目店,PayPayあと払い,-,本人,05012200000263
2025/07/09 13:42:42,"5,865",-,-,-,-,日本,支払い,水道料金 請求書払い,PayPay残高,-,本人,05012200000258
2025/07/09 19:45:42,-,4,-,-,-,日本,ポイント、残高の獲得,すき家 - 東口店,PayPayポイント,-,本人,05012200000264
2025/07/09 19:45:42,913,-,-,-,-,日本,支払い,すき家 - 東口店,PayPay残高,-,本人,05012200000264
2025/07/10 19:38:25,-,28,-,-,-,日本,ポイント、残高の獲得,業務スーパー 中央二丁目店,PayPayポイント,-,本人,05012200000265
2025/07/10 19:38:25,"2,848",-,-,-,-,日本,支払い,業務スーパー 中央二丁目店,PayPay残高,-,本人,05012200000265
2025/07/11 10:13:48,-,5,-,-,-,日本,ポイント、残高の獲得,すき家 - 東口店,PayPayポイント,-,本人,05012200000267
2025/07/11 10:13:48,"1,006",-,-,-,-,日本,支払い,すき家 - 東口店,PayPayあと払い,-,本人,05012200000267
2025/07/11 10:34:10,-,18,-,-,-,日本,ポイント、残高の獲得,ウエルシア薬局 中央店,PayPayポイント,-,本人,05012200000268
2025/07/11 10:34:10,"3,750",-,-,-,-,日本,支払い,ウエルシア薬局 中央店,クレジット Mastercard 0000,ー回払い,本人,05012200000268
2025/07/11 12:34:03,-,4,-,-,-,日本,ポイント、残高の獲得,ドトールコーヒーショップ - 東口店,PayPayポイント,-,本人,05012200000266
2025/07/11 12:34:03,499,-,-,-,-,日本,支払い,ドトールコーヒーショップ - 東口店,PayPayあと払い,-,本人,05012200000266
2025/07/12 12:49:31,-,65,-,-,-,日本,ポイント、残高の獲得,イオン - 中央店,PayPayポイント,-,本人,05012200000269
2025/07/12 12:49:31,"6,564",-,-,-,-,日本,支払い,イオン - 中央店,PayPay残高,-,本人,05012200000269
2025/07/12 14:50:06,980,-,-,-,-,日本,支払い,Spotify,クレジット Mastercard 0000,ー回払い,本人,05012200000255
2025/07/13 20:23:12,-,4,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000270
2025/07/13 20:23:12,484,-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,PayPayあと払い,-,本人,05012200000270
2025/07/15 12:25:21,-,2,-,-,-,日本,ポイント、残高の獲得,スターバックス コーヒー - 駅ビル店,PayPayポイント,-,本人,05012200000271
2025/07/15 12:25:21,526,-,-,-,-,日本,支払い,スターバックス コーヒー - 駅ビル店,PayPayあと払い,-,本人,05012200000271
2025/07/15 14:54:57,-,17,-,-,-,日本,ポイント、残高の獲得,交通系ICチャージ,PayPayポイント,-,本人,05012200000272
2025/07/15 14:54:57,"1,755",-,-,-,-,日本,支払い,交通系ICチャージ,PayPay残高,-,本人,05012200000272
2025/07/15 19:28:41,"3,267",-,-,-,-,日本,支払い,ガス料金 請求書払い,PayPay残高,-,本人,05012200000257
2025/07/18 16:43:38,"4,378",-,-,-,-,日本,支払い,ソフトバンク 携帯料金,クレジット Mastercard 0000,ー回払い,本人,05012200000253
2025/07/18 19:29:38,-,1,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000273
2025/07/18 19:29:38,355,-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,PayPay残高,-,本人,05012200000273
2025/07/19 17:20:09,-,14,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000274
2025/07/19 17:20:09,"1,421",-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,PayPay残高,-,本人,05012200000274
2025/07/20 19:37:29,-,"10,000",-,-,-,日本,チャージ,PayPay,PayPay残高,-,本人,05012200000259
2025/07/21 15:40:26,"10,562",-,-,-,-,日本,支払い,電気料金 請求書払い,PayPay残高,-,本人,05012200000256
2025/07/24 13:54:37,-,4,-,-,-,日本,ポイント、残高の獲得,ファミリーマート 本町店,PayPayポイント,-,本人,05012200000276
2025/07/24 13:54:37,925,-,-,-,-,日本,支払い,ファミリーマート 本町店,PayPayあと払い,-,本人,05012200000276
2025/07/24 14:30:20,-,1,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000275
2025/07/24 14:30:20,325,-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,PayPayあと払い,-,本人,05012200000275
2025/07/25 10:34:12,-,12,-,-,-,日本,ポイント、残高の獲得,ローソン - 駅前店,PayPayポイント,-,本人,05012200000277
2025/07/25 10:34:12,826,-,-,-,-,日本,支払い,ローソン - 駅前店,PayPay残高,-,本人,05012200000277
2025/07/27 11:20:14,-,6,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000278
2025/07/27 11:20:14,"1,296",-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,クレジット Mastercard 0000,ー回払い,本人,05012200000278
2025/07/27 15:15:40,-,59,-,-,-,日本,ポイント、残高の獲得,Amazon.co.jp,PayPayポイント,-,本人,05012200000279
2025/07/27 15:15:40,"11,991",-,-,-,-,日本,支払い,Amazon.co.jp,PayPay残高,-,本人,05012200000279
2025/07/29 18:54:22,-,7,-,-,-,日本,ポイント、残高の獲得,マクドナルド 西口店,PayPayポイント,-,本人,05012200000280
2025/07/29 18:54:22,"1,483",-,-,-,-,日本,支払い,マクドナルド 西口店,PayPay残高,-,本人,05012200000280
2025/07/30 08:43:04,-,2,-,-,-,日本,ポイント、残高の獲得,ローソン - 駅前店,PayPayポイント,-,本人,05012200000281
2025/07/30 08:43:04,503,-,-,-,-,日本,支払い,ローソン - 駅前店,PayPay残高,-,本人,05012200000281
2025/07/31 19:43:17,-,1,-,-,-,日本,ポイント、残高の獲得,ファミリーマート 本町店,PayPayポイント,-,本人,05012200000282
2025/07/31 19:43:17,298,-,-,-,-,日本,支払い,ファミリーマート 本町店,PayPay残高,-,本人,05012200000282
2025/08/02 08:28:56,-,19,-,-,-,日本,ポイント、残高の獲得,Yahoo!ショッピング,PayPayポイント,-,本人,05012200000289
2025/08/02 08:28:56,"1,979",-,-,-,-,日本,支払い,Yahoo!ショッピング,PayPay残高,-,本人,05012200000289
2025/08/03 14:56:30,-,6,-,-,-,日本,ポイント、残高の獲得,QBハウス - 駅前店,PayPayポイント,-,本人,05012200000291
2025/08/03 14:56:30,"1,350",-,-,-,-,日本,支払い,QBハウス - 駅前店,PayPay残高,-,本人,05012200000291
2025/08/03 22:06:44,-,14,-,-,-,日本,ポイント、残高の獲得,業務スーパー 中央二丁目店,PayPayポイント,-,本人,05012200000290
2025/08/03 22:06:44,"2,988",-,-,-,-,日本,支払い,業務スーパー 中央二丁目店,PayPayあと払い,-,本人,05012200000290
2025/08/04 07:11:16,-,18,-,-,-,日本,ポイント、残高の獲得,すき家 - 東口店,PayPayポイント,-,本人,05012200000294
2025/08/04 07:11:16,"1,266",-,-,-,-,日本,支払い,すき家 - 東口店,PayPay残高,-,本人,05012200000294
2025/08/04 16:02:01,-,5,-,-,-,日本,ポイント、残高の獲得,ドトールコーヒーショップ - 東口店,PayPayポイント,-,本人,05012200000293
2025/08/04 16:02:01,384,-,-,-,-,日本,支払い,ドトールコーヒーショップ - 東口店,PayPay残高,-,本人,05012200000293
2025/08/04 19:39:57,-,12,-,-,-,日本,ポイント、残高の獲得,イオン - 中央店,PayPayポイント,-,本人,05012200000292
2025/08/04 19:39:57,"2,464",-,-,-,-,日本,支払い,イオン - 中央店,PayPay残高,-,本人,05012200000292
2025/08/05 20:27:26,-,12,-,-,-,日本,ポイント、残高の獲得,タイムズ 中央第2,PayPayポイント,-,本人,05012200000295
2025/08/05 20:27:26,835,-,-,-,-,日本,支払い,タイムズ 中央第2,PayPayあと払い,-,本人,05012200000295
2025/08/06 21:38:53,-,2,-,-,-,日本,ポイント、残高の獲得,スターバックス コーヒー - 駅ビル店,PayPayポイント,-,本人,05012200000296
2025/08/06 21:38:53,500,-,-,-,-,日本,支払い,スターバックス コーヒー - 駅ビル店,PayPay残高,-,本人,05012200000296
2025/08/08 09:48:32,-,180,-,-,-,日本,ポイント、残高の獲得,Amazon.co.jp,PayPayポイント,-,本人,05012200000297
2025/08/08 09:48:32,"12,005",-,-,-,-,日本,支払い,Amazon.co.jp,クレジット Mastercard 0000,ー回払い,本人,05012200000297
2025/08/08 16:54:56,"1,590",-,-,-,-,日本,支払い,Netflix,クレジット Mastercard 0000,ー回払い,本人,05012200000284
2025/08/10 12:17:02,-,22,-,-,-,日本,ポイント、残高の獲得,イオン - 中央店,PayPayポイント,-,本人,05012200000299
2025/08/10 12:17:02,"1,491",-,-,-,-,日本,支払い,イオン - 中央店,クレジット Mastercard 0000,ー回払い,本人,05012200000299
2025/08/10 22:06:19,-,20,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000298
2025/08/10 22:06:19,"1,356",-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,PayPay残高,-,本人,05012200000298
2025/08/11 07:34:31,-,67,-,-,-,日本,ポイント、残高の獲得,ドン・キホーテ - 大通り店,PayPayポイント,-,本人,05012200000300
2025/08/11 07:34:31,"6,736",-,-,-,-,日本,支払い,ドン・キホーテ - 大通り店,PayPay残高,-,本人,05012200000300
2025/08/12 09:06:15,980,-,-,-,-,日本,支払い,Spotify,クレジット Mastercard 0000,ー回払い,本人,05012200000285
2025/08/12 16:11:40,-,102,-,-,-,日本,ポイント、残高の獲得,Yahoo!ショッピング,PayPayポイント,-,本人,05012200000301
2025/08/12 16:11:40,"6,816",-,-,-,-,日本,支払い,Yahoo!ショッピング,クレジット Mastercard 0000,ー回払い,本人,05012200000301
